option,rooms,area,floor,total_floors,house_type,condition,price
For sale,4,102,1,6,Masonry,All amenities,"€ 250,000"
For sale,3,106,6,7,Panel-Brick,All amenities,"€ 492,560"
For sale,2,72,2,5,Brick-Panel,All amenities,"€ 129,000"
For rent,4,190,7,7,Masonry,All amenities,€ 900
For rent,1,30,2,3,Brick,All amenities,€ 160
For sale,3,210,2,4,Masonry,All amenities,"€ 250,000"
For rent,2,55,2,5,Masonry,All amenities,€ 700
For rent,1,18,5,5,Masonry,All amenities,€ 280
For rent,2,50,3,9,Panel,All amenities,€ 280
For rent,1,28,4,5,Panel,All amenities,€ 215
For sale,2,47,2,5,Panel,All amenities,"€ 43,000"
For rent,1,46,7,9,Brick-Panel,All amenities,€ 350
For rent,1,31,6,9,Panel,All amenities,€ 285
For sale,2,48,3,5,Panel,All amenities,"€ 42,500"
For rent,1,29,2,12,Brick,All amenities,€ 220
